Regio's (naam),Perioden (jaar),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Nieuwvormingen (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van hart en vaatstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van ademhalingsstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Uitwendige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Overige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vestiging uit andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vertrek naar andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo, relatief (per 1 000 inwoners)","Bevolking|Bevolkingsontwikkeling|Verhuizingen|Verhuismobiliteit, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Immigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Emigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Inwoners op 31 december (aantal),Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei (aantal),"Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Gemiddeld aantal inwoners (aantal)
Drenthe (PV),2012,4406,9,4840,"9,9",-434,"-0,9",1563,1341,466,207,1263,16570,17291,-721,"-1,5","81,5",1993,1727,266,"0,5",489918,-889,"-1,8","490362,5"
Drenthe (PV),2013,4174,"8,5",4789,"9,8",-615,"-1,3",1553,1348,402,215,1271,16309,17153,-844,"-1,7","80,7",2071,1540,531,"1,1",488988,-930,"-1,9",489453
Drenthe (PV),2014,4302,"8,8",4617,"9,4",-315,"-0,6",1495,1279,343,247,1253,16860,17511,-651,"-1,3","83,5",2199,1652,547,"1,1",488576,-412,"-0,8",488782
Drenthe (PV),2015,4029,"8,2",4975,"10,2",-946,"-1,9",1554,1368,428,242,1383,18826,19888,-1062,"-2,2","91,9",3783,1711,2072,"4,2",488629,53,"0,1","488602,5"
Drenthe (PV),2016,4208,"8,6",5084,"10,4",-876,"-1,8",1569,1387,368,240,1520,21844,28444,-6600,"-13,5","109,3",12296,1671,10625,"21,7",491792,3163,"6,5","490210,5"
Drenthe (PV),2017,4191,"8,5",5202,"10,6",-1011,"-2,1",1628,1383,439,279,1473,23340,39762,-16422,"-33,4","127,2",19202,1431,17771,"36,2",492100,308,"0,6",491946
Drenthe (PV),2018,3992,"8,1",5340,"10,9",-1348,"-2,7",1619,1424,477,274,1546,22655,22032,623,"1,3","104,8",2461,1644,817,"1,7",492167,67,"0,1","492133,5"
Drenthe (PV),2019,4110,"8,3",5143,"10,4",-1033,"-2,1",1615,1362,382,316,1468,22263,20701,1562,"3,2","101,7",2700,1667,1033,"2,1",493682,1515,"3,1","492924,5"
Drenthe (PV),2020,4135,"8,4",5551,"11,2",-1416,"-2,9",1720,1406,346,307,1772,22808,20883,1925,"3,9","100,9",,,,,494771,1089,"2,2","494226,5"
Drenthe (PV),2021,4443,9,5876,"11,8",-1433,"-2,9",1611,1383,319,303,2260,24226,20113,4113,"8,3","95,6",,,,,497743,2972,6,496257
Drenthe (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Overijssel (PV),2012,12367,"10,9",9421,"8,3",2946,"2,6",3039,2552,1076,452,2302,33489,35466,-1977,"-1,7","85,7",6873,6159,714,"0,6",1139350,1682,"1,5",1138509
Overijssel (PV),2013,12151,"10,7",9753,"8,6",2398,"2,1",2964,2683,946,431,2729,33227,35336,-2109,"-1,9","82,7",6625,6583,42,0,1139697,347,"0,3","1139523,5"
Overijssel (PV),2014,12092,"10,6",9623,"8,4",2469,"2,2",3071,2619,772,469,2692,34928,36829,-1901,"-1,7","87,6",6890,6498,392,"0,3",1140652,955,"0,8","1140174,5"
Overijssel (PV),2015,11765,"10,3",9985,"8,7",1780,"1,6",3165,2672,942,473,2733,37470,38035,-565,"-0,5","93,6",8675,6267,2408,"2,1",1144280,3628,"3,2",1142466
Overijssel (PV),2016,11728,"10,2",10134,"8,8",1594,"1,4",3135,2802,880,483,2834,41828,41566,262,"0,2","101,8",8170,6595,1575,"1,4",1147687,3407,3,"1145983,5"
Overijssel (PV),2017,11345,"9,9",10254,"8,9",1091,"0,9",3298,2623,915,500,2918,43714,42669,1045,"0,9","108,1",7729,6031,1698,"1,5",1151501,3814,"3,3",1149594
Overijssel (PV),2018,11178,"9,7",10510,"9,1",668,"0,6",3117,2719,1065,524,3085,42216,40801,1415,"1,2","103,8",8670,5814,2856,"2,5",1156431,4930,"4,3",1153966
Overijssel (PV),2019,11225,"9,7",10478,9,747,"0,6",3276,2695,909,541,3057,41641,39660,1981,"1,7","100,4",9918,6613,3305,"2,9",1162406,5975,"5,2","1159418,5"
Overijssel (PV),2020,11099,"9,5",11562,"9,9",-463,"-0,4",3251,2621,707,575,4408,42936,40934,2002,"1,7","101,1",,,,,1166533,4127,"3,6","1164469,5"
Overijssel (PV),2021,11628,"9,9",11688,10,-60,"-0,1",3333,2740,717,549,4349,42491,39818,2673,"2,3","92,7",,,,,1171910,5377,"4,6","1169221,5"
Overijssel (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Flevoland (PV),2012,4991,"12,6",2213,"5,6",2778,7,771,557,235,124,526,12318,13294,-976,"-2,5","86,2",3696,2596,1100,"2,8",398441,2916,"7,4",396983
Flevoland (PV),2013,4687,"11,7",2247,"5,6",2440,"6,1",748,582,194,124,599,11638,13914,-2276,"-5,7","88,2",4779,3501,1278,"3,2",399893,1452,"3,6",399167
Flevoland (PV),2014,4922,"12,3",2136,"5,3",2786,7,722,566,140,118,590,12105,15474,-3369,"-8,4","91,9",5993,3807,2186,"5,5",401791,1898,"4,7",400842
Flevoland (PV),2015,4735,"11,8",2260,"5,6",2475,"6,1",728,589,180,128,635,13951,17145,-3194,"-7,9","101,8",7251,4267,2984,"7,4",404068,2277,"5,7","402929,5"
Flevoland (PV),2016,4706,"11,6",2377,"5,9",2329,"5,7",859,576,170,143,629,16541,17952,-1411,"-3,5",108,6618,3792,2826,7,407818,3750,"9,3",405943
Flevoland (PV),2017,4565,"11,1",2282,"5,6",2283,"5,6",790,546,177,134,635,17689,17191,498,"1,2","114,4",4890,3806,1084,"2,7",411670,3852,"9,4",409744
Flevoland (PV),2018,4793,"11,6",2486,6,2307,"5,6",835,613,217,143,678,17378,16556,822,2,"107,8",5447,3688,1759,"4,3",416546,4876,"11,8",414108
Flevoland (PV),2019,4892,"11,7",2469,"5,9",2423,"5,8",821,607,182,139,720,18273,16923,1350,"3,2","108,5",6782,4059,2723,"6,5",423021,6475,"15,5","419783,5"
Flevoland (PV),2020,4871,"11,4",2740,"6,4",2131,5,838,569,156,156,1021,19425,17906,1519,"3,6","108,7",,,,,428226,5205,"12,3","425623,5"
Flevoland (PV),2021,5179,12,2945,"6,8",2234,"5,2",849,607,146,155,1189,21137,18199,2938,"6,8",107,,,,,434771,6545,"15,3","431498,5"
Flevoland (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Gelderland (PV),2012,19835,"9,9",17335,"8,6",2500,"1,2",5538,4753,1812,801,4431,76565,75208,1357,"0,7","86,5",11761,10639,1122,"0,6",2015791,5046,"2,5",2013268
Gelderland (PV),2013,19683,"9,8",17326,"8,6",2357,"1,2",5360,4849,1552,798,4767,76715,75987,728,"0,4","84,5",12293,11504,789,"0,4",2019692,3901,"1,9","2017741,5"
Gelderland (PV),2014,19851,"9,8",17026,"8,4",2825,"1,4",5532,4695,1366,770,4663,81570,79609,1961,1,"89,6",13279,11218,2061,1,2026578,6886,"3,4",2023135
Gelderland (PV),2015,19525,"9,6",17890,"8,8",1635,"0,8",5584,4855,1684,878,4889,85005,82082,2923,"1,4","96,2",15375,11198,4177,"2,1",2035351,8773,"4,3","2030964,5"
Gelderland (PV),2016,19499,"9,6",18124,"8,9",1375,"0,7",5689,4695,1588,1003,5149,96438,92587,3851,"1,9","103,8",19028,11655,7373,"3,6",2047901,12550,"6,2",2041626
Gelderland (PV),2017,19534,"9,5",18617,"9,1",917,"0,4",5644,4885,1660,1026,5402,101414,94426,6988,"3,4",110,16186,11796,4390,"2,1",2060103,12202,6,2054002
Gelderland (PV),2018,19347,"9,4",19017,"9,2",330,"0,2",5806,4718,1786,1071,5636,95621,90334,5287,"2,6",103,18225,11999,6226,3,2071972,11869,"5,8","2066037,5"
Gelderland (PV),2019,19426,"9,3",19079,"9,2",347,"0,2",5940,4719,1679,1083,5658,95656,90298,5358,"2,6","101,8",20809,12527,8282,4,2085952,13980,"6,7",2078962
Gelderland (PV),2020,19885,"9,5",20943,10,-1058,"-0,5",5873,4690,1329,1098,7953,98171,92062,6109,"2,9","101,6",,,,,2096603,10651,"5,1","2091277,5"
