Regio's (naam),Perioden (jaar),Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Mannen (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Vrouwen (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|Jonger dan 5 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|5 tot 10 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|10 tot 15 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|15 tot 20 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|20 tot 25 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|25 tot 45 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|45 tot 65 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|65 tot 80 jaar (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|80 jaar of ouder (aantal),"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|Jonger dan 5 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|5 tot 10 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|10 tot 15 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|15 tot 20 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|20 tot 25 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|25 tot 45 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|45 tot 65 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|65 tot 80 jaar (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|80 jaar of ouder (%)",Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Totale druk (%),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Groene druk (%),Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Grijze druk (%),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Ongehuwd (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Gehuwd (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Gescheiden (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Verweduwd (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Inwoners 15 jaar of ouder (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Verweduwd (in % van  inwoners 15 jaar of ouder),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Nederlandse achtergrond (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Totaal met migratieachtergrond (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Westerse migratieachtergrond (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Totaal niet-westerse migratieachtergrond (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Marokko (aantal),"Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|(voormalige) Nederlandse Antillen, Aruba (aantal)",Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Suriname (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Turkije (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Overig niet-westerse migratieachtergrond (aantal),"Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Nederlandse achtergrond (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Totaal met migratieachtergrond (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Westerse migratieachtergrond (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Totaal niet-westerse migratieachtergrond (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Marokko (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|(voormalige) Nederlandse Antillen, Aruba (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Suriname (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Turkije (%)","Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Overig niet-westerse migratieachtergrond (%)",Bevolking|Bevolkingssamenstelling op 1 januari|Stedelijkheidsklasse|Zeer sterk stedelijk (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Stedelijkheidsklasse|Sterk stedelijk (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Stedelijkheidsklasse|Matig stedelijk (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Stedelijkheidsklasse|Weinig stedelijk (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Stedelijkheidsklasse|Niet stedelijk (aantal),Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid (aantal inwoners per km²),Bevolking|Particuliere huishoudens|Particuliere huishoudens|Totaal aantal particuliere huishoudens (aantal),Bevolking|Particuliere huishoudens|Particuliere huishoudens|Eenpersoonshuishoudens (aantal),Bevolking|Particuliere huishoudens|Particuliere huishoudens|Huishoudens zonder kinderen (aantal),Bevolking|Particuliere huishoudens|Particuliere huishoudens|Huishoudens met kinderen (aantal),"Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Eenpersoonshuishoudens (%)","Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Huishoudens zonder kinderen (%)","Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Huishoudens met kinderen (%)",Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte (personen per 1 huishouden)
Groningen (PV),2012,580875,288754,292121,28662,29853,32003,36199,50852,147963,159036,71322,24985,"4,9","5,1","5,5","6,2","8,8","25,5","27,4","12,3","4,3","62,3","35,4","26,9",288985,220361,39348,32181,490357,"40,5","44,9",8,"6,6",502371,78504,43122,35382,1675,5061,6259,4803,17584,"86,5","13,5","7,4","6,1","0,3","0,9","1,1","0,8",3,113340,51940,84480,123720,207400,250,283241,122018,80902,80321,"43,1","28,6","28,4","2,02"
Groningen (PV),2013,581705,289275,292430,28423,29156,31929,36337,51319,146348,158461,74467,25265,"4,9",5,"5,5","6,2","8,8","25,2","27,2","12,8","4,3","63,3","35,3",28,291084,218389,40091,32141,492197,41,"44,4","8,1","6,5",501767,79938,44029,35909,1701,5199,6254,4794,17961,"86,3","13,7","7,6","6,2","0,3","0,9","1,1","0,8","3,1",115850,51490,87070,119210,208100,250,285911,124778,81124,80009,"43,6","28,4",28,"2,01"
Groningen (PV),2014,582728,289820,292908,27753,28612,31873,36767,52125,144802,158165,77024,25607,"4,8","4,9","5,5","6,3","8,9","24,8","27,1","13,2","4,4","64,1","35,2","28,9",294038,216000,40849,31841,494490,"41,6","43,7","8,3","6,4",500900,81828,44689,37139,1751,5297,6265,4745,19081,86,14,"7,7","6,4","0,3","0,9","1,1","0,8","3,3",118780,48570,89400,119080,206910,251,286645,125559,81429,79657,"43,8","28,4","27,8",2
Groningen (PV),2015,583942,290840,293102,27188,28574,31359,37053,52777,142782,159009,79176,26024,"4,7","4,9","5,4","6,3",9,"24,5","27,2","13,6","4,5","64,7",35,"29,7",296646,213841,41887,31568,496821,"42,2",43,"8,4","6,4",500157,83785,44818,38967,1760,5407,6261,4734,20805,"85,7","14,3","7,7","6,7","0,3","0,9","1,1","0,8","3,6",122860,64210,82300,115400,199180,251,289552,129003,81243,79306,"44,6","28,1","27,4","1,98"
Groningen (PV),2016,583721,291058,292663,26637,28343,30701,36820,52753,141503,159560,81097,26307,"4,6","4,9","5,3","6,3",9,"24,2","27,3","13,9","4,5",65,"34,6","30,4",297921,211779,42689,31332,498040,"42,6","42,5","8,6","6,3",498137,85584,44996,40588,1785,5534,6246,4654,22369,"85,3","14,7","7,7",7,"0,3","0,9","1,1","0,8","3,8",123330,64200,83050,114310,198830,251,290294,129969,81513,78812,"44,8","28,1","27,1","1,98"
Groningen (PV),2017,583581,291291,292290,26271,28321,29966,36795,52387,140402,159856,82952,26631,"4,5","4,9","5,1","6,3",9,"24,1","27,4","14,2","4,6","65,5","34,4","31,1",299345,209920,43236,31080,499023,43,"42,1","8,7","6,2",495910,87671,45882,41789,1783,5643,6252,4708,23403,85,15,"7,9","7,2","0,3",1,"1,1","0,8",4,126100,63580,80560,115130,198220,251,291322,131134,81591,78597,45,28,27,"1,97"
Groningen (PV),2018,582944,290938,292006,25763,28200,29391,36665,52290,139306,159451,85088,26790,"4,4","4,8",5,"6,3",9,"23,9","27,4","14,6","4,6","66,1","34,2","31,9",300188,207995,43924,30837,499590,"43,4","41,6","8,8","6,2",493072,89872,46458,43414,1819,5794,6248,4772,24781,"84,6","15,4",8,"7,4","0,3",1,"1,1","0,8","4,3",126330,64960,80520,113970,197170,251,292255,132326,81705,78224,"45,3",28,"26,8","1,96"
Groningen (PV),2019,583990,291436,292554,25419,27583,29056,36618,52745,139700,158591,87142,27136,"4,4","4,7",5,"6,3",9,"23,9","27,2","14,9","4,6","66,4","33,8","32,6",302207,206730,44460,30593,501932,"43,9","41,2","8,9","6,1",490671,93319,47926,45393,1851,5942,6223,4824,26553,84,16,"8,2","7,8","0,3",1,"1,1","0,8","4,5",129320,63160,82170,112540,196790,251,293740,133537,82202,78001,"45,5",28,"26,6","1,96"
Groningen (PV),2020,585866,292444,293422,25223,27121,29046,35928,53398,140774,157641,89005,27730,"4,3","4,6",5,"6,1","9,1",24,"26,9","15,2","4,7","66,5","33,3","33,2",304390,206067,44934,30475,504476,"44,2","40,8","8,9",6,489118,96748,49254,47494,1853,6211,6232,5015,28183,"83,5","16,5","8,4","8,1","0,3","1,1","1,1","0,9","4,8",131250,62390,82370,113220,196640,252,295469,134986,82763,77720,"45,7",28,"26,3","1,95"
Groningen (PV),2021,586937,293361,293576,24951,26757,28966,35274,53110,141990,156506,91109,28274,"4,3","4,6","4,9",6,9,"24,2","26,7","15,5","4,8","66,9",33,34,306220,204840,45539,30338,506263,"44,6","40,5",9,6,488170,98767,49944,48823,1859,6545,6214,5004,29201,"83,2","16,8","8,5","8,3","0,3","1,1","1,1","0,9",5,130760,62750,82400,114890,196150,253,296374,135353,83912,77109,"45,7","28,3",26,"1,95"
Groningen (PV),2022,590170,294948,295222,25096,26465,29071,35186,54258,143563,155052,92957,28522,"4,3","4,5","4,9",6,"9,2","24,3","26,3","15,8","4,8","67,2","32,8","34,4",310290,203936,45662,30282,509538,"45,1",40,9,"5,9",486913,103257,51755,51502,1898,6813,6204,5252,31335,"82,5","17,5","8,8","8,7","0,3","1,2","1,1","0,9","5,3",131950,62860,82700,115260,197390,255,299201,138299,83888,77014,"46,2",28,"25,7","1,94"
Fryslân (PV),2012,647214,323495,323719,35132,39058,41225,39956,37329,157352,182529,85924,28709,"5,4",6,"6,4","6,2","5,8","24,3","28,2","13,3","4,4","71,6","41,2","30,4",295339,274191,41327,36357,531799,"33,8","51,6","7,8","6,8",591195,56019,32062,23957,2152,2304,3043,1707,14751,"91,3","8,7",5,"3,7","0,3","0,4","0,5","0,3","2,3",31720,77330,87780,143970,306410,194,283615,96461,89880,97274,34,"31,7","34,3","2,25"
Fryslân (PV),2013,646862,323442,323420,34557,38100,41526,39759,37078,154563,182401,89703,29175,"5,3","5,9","6,4","6,1","5,7","23,9","28,2","13,9","4,5","72,9","41,2","31,8",295838,272515,42267,36242,532679,"34,1","51,2","7,9","6,8",590396,56466,32132,24334,2147,2369,3054,1717,15047,"91,3","8,7",5,"3,8","0,3","0,4","0,5","0,3","2,3",36760,72750,85100,147760,304480,195,285063,98132,89781,97150,"34,4","31,5","34,1","2,24"
Fryslân (PV),2014,646317,323242,323075,33736,37152,41631,39860,37070,151492,182931,92947,29498,"5,2","5,7","6,4","6,2","5,7","23,4","28,3","14,4","4,6",74,41,33,296777,269844,43462,36234,533798,"34,5","50,6","8,1","6,8",589182,57135,32062,25073,2168,2437,3073,1731,15664,"91,2","8,8",5,"3,9","0,3","0,4","0,5","0,3","2,4",38330,71940,85100,148560,302380,194,285320,98622,89930,96768,"34,6","31,5","33,9","2,23"
Fryslân (PV),2015,646257,323398,322859,32993,36689,41168,40190,36919,148255,184074,95752,30217,"5,1","5,7","6,4","6,2","5,7","22,9","28,5","14,8","4,7",75,"40,9","34,1",297793,267565,44606,36293,535407,"34,9",50,"8,3","6,8",588388,57869,32094,25775,2167,2488,3051,1717,16352,91,9,5,4,"0,3","0,4","0,5","0,3","2,5",46420,74870,86890,144110,293960,194,286429,100022,90135,96272,"34,9","31,5","33,6","2,22"
Fryslân (PV),2016,646040,323376,322664,32133,36342,40275,40739,36924,145530,185230,98010,30857,5,"5,6","6,2","6,3","5,7","22,5","28,7","15,2","4,8","75,7","40,7",35,298647,265324,45832,36237,537290,"35,3","49,4","8,5","6,7",586957,59083,32224,26859,2180,2516,3094,1736,17333,"90,9","9,1",5,"4,2","0,3","0,4","0,5","0,3","2,7",46680,74840,87750,143160,293610,194,287248,101035,90065,96148,"35,2","31,4","33,5","2,21"
Fryslân (PV),2017,646874,324048,322826,31562,35926,39576,41363,36889,143741,186163,100137,31517,"4,9","5,6","6,1","6,4","5,7","22,2","28,8","15,5","4,9","76,4","40,5","35,9",300182,263545,47004,36143,539810,"35,8","48,8","8,7","6,7",585408,61466,32306,29160,2229,2577,3102,1762,19490,"90,5","9,5",5,"4,5","0,3","0,4","0,5","0,3",3,47000,75190,88970,143470,292250,195,289335,103458,90113,95764,"35,8","31,1","33,1","2,2"
